conteo,tupla
12,1|2
5,1|3
17,1|4
7,1|5
4,1|6
10,1|7
9,1|8
3,1|9
6,1|10
4,1|11
7,1|12
7,1|13
7,1|14
3,1|15
1,1|16
1,1|17
8,1|18
6,1|19
4,1|20
6,1|21
6,1|22
5,1|23
1,1|24
3,1|25
2,1|26
7,1|27
4,1|28
4,1|29
3,1|30
7,1|31
4,1|32
5,1|33
4,1|34
4,1|35
4,1|36
4,1|37
1,1|38
5,1|39
2,1|40
5,1|41
5,1|42
8,1|43
9,2|3
13,2|4
8,2|5
3,2|6
6,2|7
8,2|8
11,2|9
10,2|10
11,2|11
7,2|12
6,2|13
8,2|14
1,2|15
6,2|16
3,2|17
5,2|18
5,2|19
2,2|20
3,2|21
6,2|22
4,2|23
3,2|24
7,2|25
4,2|26
5,2|27
6,2|28
3,2|29
3,2|30
6,2|31
2,2|32
5,2|33
5,2|34
2,2|35
3,2|36
5,2|37
1,2|38
3,2|39
4,2|40
2,2|41
5,2|42
4,2|43
10,3|4
3,3|5
2,3|6
10,3|7
5,3|8
1,3|9
10,3|10
6,3|11
5,3|12
3,3|13
2,3|14
3,3|15
6,3|16
4,3|17
5,3|18
5,3|19
10,3|20
3,3|21
6,3|22
10,3|23
3,3|24
8,3|25
4,3|26
1,3|27
5,3|28
3,3|29
6,3|30
3,3|31
5,3|32
2,3|33
5,3|34
2,3|35
3,3|36
4,3|37
4,3|38
6,3|39
6,3|40
6,3|41
3,3|42
2,3|43
6,4|5
3,4|6
3,4|7
11,4|8
11,4|9
5,4|10
7,4|11
6,4|12
11,4|13
5,4|14
5,4|15
6,4|16
7,4|17
3,4|18
2,4|19
5,4|20
3,4|21
6,4|22
4,4|23
5,4|24
4,4|25
3,4|26
3,4|27
2,4|28
7,4|29
2,4|30
3,4|31
4,4|32
6,4|33
4,4|34
5,4|35
6,4|36
4,4|37
1,4|38
2,4|39
5,4|40
4,4|41
4,4|42
4,4|43
12,5|6
5,5|7
5,5|8
6,5|9
1,5|10
1,5|11
4,5|12
11,5|13
6,5|14
4,5|16
1,5|17
2,5|18
1,5|19
4,5|20
1,5|22
4,5|23
3,5|24
2,5|25
6,5|26
3,5|27
3,5|28
5,5|29
2,5|30
3,5|31
4,5|32
3,5|33
5,5|34
3,5|35
1,5|36
3,5|37
2,5|38
4,5|39
1,5|40
3,5|41
5,5|42
5,5|43
5,6|7
8,6|8
3,6|9
6,6|10
2,6|11
10,6|12
7,6|13
12,6|14
6,6|15
5,6|16
8,6|17
2,6|18
5,6|19
5,6|20
2,6|21
5,6|22
5,6|23
2,6|24
6,6|25
4,6|26
7,6|27
5,6|28
6,6|29
1,6|30
5,6|31
5,6|32
3,6|33
4,6|34
3,6|35
4,6|36
3,6|37
2,6|38
4,6|39
3,6|40
5,6|41
7,6|42
3,6|43
3,7|8
4,7|9
4,7|10
7,7|11
6,7|12
1,7|13
5,7|14
8,7|16
2,7|17
6,7|18
4,7|19
4,7|20
1,7|21
5,7|22
8,7|23
5,7|24
5,7|25
1,7|26
2,7|27
2,7|28
2,7|29
5,7|30
4,7|31
2,7|32
2,7|33
4,7|34
3,7|35
6,7|36
7,7|37
2,7|38
3,7|39
2,7|40
5,7|41
